 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2017
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"ignorado";"Total"
"316460 São Sebastião do Oeste";0;0;0;0;0;0;1;1;0;0;0;0;0;2
"316470 São Sebastião do Paraíso";0;0;0;0;0;1;3;1;0;3;0;0;0;8
"316500 São Tiago";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"316650 Serra Azul de Minas";0;0;0;0;1;1;0;0;0;0;0;0;0;2
"316720 Sete Lagoas";0;0;0;0;0;23;19;18;11;3;0;0;0;74
"316760 Simonésia";0;0;0;0;0;0;1;1;0;0;0;0;0;2
"316850 Teixeiras";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"316860 Teófilo Otoni";1;1;1;0;0;4;10;17;3;3;0;0;0;40
"316870 Timóteo";0;0;0;0;0;1;4;0;1;0;0;0;0;6
"316880 Tiradentes";0;0;0;0;0;0;2;1;0;0;0;0;0;3
"316930 Três Corações";0;0;0;0;0;3;2;1;1;0;0;0;0;7
"316935 Três Marias";0;0;0;0;0;1;1;2;0;0;0;0;0;4
"316940 Três Pontas";0;0;0;0;0;2;3;1;4;0;0;0;0;10
"316990 Ubá";0;0;0;0;0;0;4;6;1;3;0;0;0;14
"317010 Uberaba";0;0;0;0;3;17;22;14;14;2;1;0;0;73
"317020 Uberlândia";0;0;0;0;5;67;75;39;25;8;3;0;0;222
"317040 Unaí";0;0;0;0;0;1;1;2;0;0;0;0;0;4
"317043 União de Minas";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"317047 Uruana de Minas";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"317070 Varginha";0;0;0;0;1;7;4;1;3;1;2;0;1;20
"317075 Varjão de Minas";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"317080 Várzea da Palma";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"317100 Vazante";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"317120 Vespasiano";0;0;0;0;0;8;7;3;5;2;0;0;0;25
"317130 Viçosa";0;0;0;0;0;1;3;0;6;0;0;0;0;10
"317190 Virgolândia";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"310000 Município ignorado - MG";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"Total";11;9;3;3;53;684;787;551;363;127;33;6;1;2631
