regiao,uf,cod_ibge,municipio,ano_diagnostico,Branca,Preta,Amarela,Parda,Indígena,Ignorado,2023,analfabeto,1ª a 4ª série incompleta,4ª série completa,5ª a 8ª série incompleta,fundamental completo,médio incompleto,médio completo,superior incompleto,superior completo,nao_informado
NORDESTE,BA,410430.0,Campo Mourão,2021,7.0,1.0,0.0,7.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410440.0,Cândido de Abreu,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410442.0,Candói,2021,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410450.0,Capanema,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410480.0,Cascavel,2021,45.0,11.0,0.0,31.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410490.0,Castro,2021,4.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410510.0,Centenário do Sul,2021,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410520.0,Cerro Azul,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410530.0,Céu Azul,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410550.0,Cianorte,2021,13.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410570.0,Clevelândia,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410580.0,Colombo,2021,29.0,2.0,0.0,12.0,0.0,0.0,,,,,,,,,,,0.0
